param K := 18;
param N := 25;

param: b:=
18 7 0
19 7 0
20 7 0
21 7 0
22 7 0
23 7 0
24 7 0
25 7 0
1  8 0
2  8 0
3  8 0
4  8 0
5  8 0
6  8 0
7  8 0
8  8 2
9  8 0
10 8 0
11 8 0
12 8 0
13 8 0
14 8 0
15 8 0
16 8 0
17 8 0
18 8 0
19 8 0
20 8 0
21 8 0
22 8 0
23 8 0
24 8 -2
25 8 0
1  9 0
2  9 0
3  9 0
4  9 0
5  9 0
6  9 0
7  9 0
8  9 0
9  9 0
10 9 0
11 9 0
12 9 0
13 9 0
14 9 0
15 9 0
16 9 0
17 9 0
18 9 0
19 9 0
20 9 0
21 9 4
22 9 0
23 9 0
24 9 0
25 9 -4
1  10 0
2  10 5
3  10 0
4  10 0
5  10 0
6  10 0
7  10 0
8  10 0
9  10 0
10 10 0
11 10 0
12 10 0
13 10 0
14 10 0
15 10 0
16 10 0
17 10 0
18 10 0
19 10 0
20 10 0
21 10 0
22 10 -5
23 10 0
24 10 0
25 10 0
1  11 0
2  11 0
3  11 0
4  11 0
5  11 0
6  11 0
7  11 0
8  11 0
9  11 0
10 11 0
11 11 0
12 11 1
13 11 0
14 11 0
15 11 0
16 11 0
17 11 0
18 11 0
19 11 -1
20 11 0
21 11 0
22 11 0
23 11 0
24 11 0
25 11 0
1  12 -4
2  12 0
3  12 0
4  12 0
5  12 0
6  12 0
7  12 0
8  12 0
9  12 0
10 12 0
11 12 0
12 12 0
13 12 0
14 12 0
15 12 0
16 12 0
17 12 0
18 12 0
19 12 0
20 12 0
21 12 0
22 12 0
23 12 0
24 12 0
25 12 4
1  13 0
2  13 0
3  13 -3
4  13 0
5  13 0
6  13 0
7  13 0
8  13 0
9  13 0
10 13 0
11 13 0
12 13 0
13 13 0
14 13 0
15 13 0
16 13 0
17 13 3
18 13 0
19 13 0
20 13 0
21 13 0
22 13 0
23 13 0
24 13 0
25 13 0
1  14 0
2  14 0
3  14 0
4  14 0
5  14 0
6  14 0
7  14 0
8  14 0
9  14 0
10 14 0
11 14 -1
12 14 0
13 14 0
14 14 0
15 14 0
16 14 0
17 14 0
18 14 0
19 14 0
20 14 0
21 14 0
22 14 0
23 14 0
24 14 1
25 14 0
1  15 0
2  15 0
3  15 0
4  15 0
5  15 0
6  15 0
7  15 0
8  15 0
9  15 0
10 15 0
11 15 0
12 15 0
13 15 0
14 15 0
15 15 0
16 15 0
17 15 0
18 15 0
19 15 3
20 15 0
21 15 -3
22 15 0
23 15 0
24 15 0
25 15 0
1  16 0
2  16 0
3  16 0
4  16 0
5  16 0
6  16 0
7  16 0
8  16 0
9  16 0
10 16 0
11 16 0
12 16 5
13 16 0
14 16 0
15 16 0
16 16 0
17 16 0
18 16 0
19 16 0
20 16 -5
21 16 0
22 16 0
23 16 0
24 16 0
25 16 0
1  17 0
2  17 0
3  17 5
4  17 0
5  17 0
6  17 0
7  17 0
8  17 0
9  17 0
10 17 0
11 17 0
12 17 0
13 17 0
14 17 0
15 17 -5
16 17 0
17 17 0
18 17 0
19 17 0
20 17 0
21 17 0
22 17 0
23 17 0
24 17 0
25 17 0
1  18 0
2  18 0
3  18 0
4  18 0
5  18 0
6  18 0
7  18 0
8  18 0
9  18 0
10 18 0
11 18 0
12 18 0
13 18 0
14 18 0
15 18 4
16 18 -4
17 18 0
18 18 0
19 18 0
20 18 0
21 18 0
22 18 0
23 18 0
24 18 0
25 18 0;


param: c:=
1  2
2  6
3  3
4  7
5  4
6  8
7  5
8  9
9  10
10 7
11 11
12 8
13 12
14 9
15 13
16 10
17 14
18 15
19 12
20 16
21 13
22 17
23 14
24 18
25 15
26 19
27 20
28 17
29 21
30 18
31 22
32 19
33 23
34 20
35 24
36 25
37 22
38 23
39 24
40 25
41 2
42 6
43 3
44 7
45 4
46 8
47 5
48 9
49 10
50 7
51 11
52 8
53 12
54 9
55 13
56 10
57 14
58 15
59 12
60 16
61 13
62 17
63 14
64 18
65 15
66 19
67 20
68 17
69 21
70 18
71 22
72 19
73 23
74 20
75 24
76 25
77 22
78 23
79 24
80 25;
 

param:  ARCS:  lb  ub  i  j:=
1   0  11  1  2
2   0  11  1  6
3   0  11  2  3
4   0  11  2  7
5   0  11  3  4
6   0  11  3  8
7   0  11  4  5
8   0  11  4  9
9   0  11  5  10
10  0  11  6  7
11  0  11  6  11
12  0  11  7  8
13  0  11  7  12
14  0  11  8  9
15  0  11  8  13
16  0  11  9  10
17  0  11  9  14
18  0  11  10 15
19  0  11  11 12
20  0  11  11 16
21  0  11  12 13
22  0  11  12 17
23  0  11  13 14
24  0  11  13 18
25  0  11  14 15
26  0  11  14 19
27  0  11  15 20
28  0  11  16 17
29  0  11  16 21
30  0  11  17 18
31  0  11  17 22
32  0  11  18 19
33  0  11  18 23
34  0  11  19 20
35  0  11  19 24
36  0  11  20 25
37  0  11  21 22
38  0  11  22 23
39  0  11  23 24
40  0  11  24 25
41  0  11  2   1  
42  0  11  6   1  
43  0  11  3   2  
44  0  11  7   2  
45  0  11  4   3  
46  0  11  8   3  
47  0  11  5   4  
48  0  11  9   4  
49  0  11  10  5  
50  0  11  7   6  
51  0  11  11  6  
52  0  11  8   7  
53  0  11  12  7  
54  0  11  9   8  
55  0  11  13  8  
56  0  11  10  9  
57  0  11  14  9  
58  0  11  15  10 
59  0  11  12  11 
60  0  11  16  11 
61  0  11  13  12 
62  0  11  17  12 
63  0  11  14  13 
64  0  11  18  13 
65  0  11  15  14 
66  0  11  19  14 
67  0  11  20  15 
68  0  11  17  16 
69  0  11  21  16 
70  0  11  18  17 
71  0  11  22  17 
72  0  11  19  18 
73  0  11  23  18 
74  0  11  20  19 
75  0  11  24  19 
76  0  11  25  20 
77  0  11  22  21 
78  0  11  23  22 
79  0  11  24  23 
80  0  11  25  24;	
